ip,hostname,app,businesses,dev,own
172.19.0.104,cmfec-redis02,母公司电商公共服务消息组件redis,基金-母公司电商,xiegb,zhaolh
192.168.22.83,proxycmdbview.cmfdomain,朱雀一体化运维,基金-朱雀一体化运维系统,wangy2,wangy2
172.18.3.195,fadb01,基金-估值4.5数据库&CMFFA估值系统数据库&CMFRC风控数据中心数据库&CMBPB招行私人银行数据库,基金-估值4.5数据库子系统&生产环境ORACLE数据库&生产环境ORACLE数据库&生产环境ORACLE数据库,xieys,xieys&zhouyao&liup1&wuys
172.18.3.197,fadb02,基金-估值4.5数据库&CMFFA估值系统数据库&CMFRC风控数据中心数据库&CMBPB招行私人银行数据库,基金-估值4.5数据库子系统&生产环境ORACLE数据库&生产环境ORACLE数据库&生产环境ORACLE数据库,xieys,xieys&zhouyao&liup1&wuys
172.18.3.199,fadb03,基金-估值4.5数据库&CMFFA估值系统数据库&CMFRC风控数据中心数据库&CMBPB招行私人银行数据库,基金-估值4.5数据库子系统&生产环境ORACLE数据库&生产环境ORACLE数据库&生产环境ORACLE数据库,xieys,xieys&zhouyao&liup1&wuys
172.18.0.227,trdb01,恒生O32备用RAC&TR投资交易只读数据库&TR灾备数据库,恒生O32数据库&生产环境只读数据库&生产环境上海灾备数据库,xukw,xieys&xukw&liup1
192.168.11.37,qq-robot2016-02,qq机器人,基金-聚升投研平台,ganq,wangy2&caiyg&ganq
192.168.7.170,WIN-8Q4F0OEM1UE,上网行为管理,基金-上网行为管理系统,lijl2,lijl2
192.168.7.107,CMFSQLINFODB01,基金-资讯数据库&基金-资讯数据库,基金-资讯下载系统&基金-资讯下载系统,zhucj&liweijie,wangy2&zhucj&liweijie
172.18.4.53,navigator,基金-数据湖部署集群,基金-数据湖,zhucj&liweijie,wangy2&zhucj&liweijie
192.168.26.94,QuantLab-Server,量化分析实验室-因子策略系统&量化因子-行情转码器,基金-量化分析实验室&基金-量化分析实验室,kongwt,wangy2&kongwt
192.168.26.125,QuantLab-Server,量化分析实验室-因子策略系统,基金-量化分析实验室,kongwt,wangy2&kongwt
192.168.26.99,QuantLab-Server10,量化分析实验室-因子策略系统&量化因子-行情服务器,基金-量化分析实验室&基金-量化分析实验室,kongwt,wangy2&kongwt
172.18.4.34,hadoop04,基金-数据湖部署集群,基金-数据湖,zhucj&liweijie,wangy2&zhucj&liweijie
172.18.4.35,hadoop05,基金-数据湖部署集群,基金-数据湖,zhucj&liweijie,wangy2&zhucj&liweijie
172.18.4.36,hadoop06,基金-数据湖部署集群,基金-数据湖,zhucj&liweijie,wangy2&zhucj&liweijie
192.168.6.250,cmwa-tianruan,财富-风险绩效管理web&财富-风险绩效管理Tinysoft&财富-风险绩效管理Tinysoft,财富-风控系统&财富-风控系统&财富-风控系统,zhangsk&yuanmg,wangy2
192.168.6.216,CBP-Server01,财富-综合业务平台-后台,财富-综合业务系统,wangzy&wangjf,wangy2
192.168.6.60,CBP-Server02,财富-综合业务平台-后台,财富-综合业务系统,wangzy&wangjf,wangy2
172.18.7.132,FA-XBRL,FA证联网前置机,基金-FA精细化运作管理系统,liuyu&kongwt,wangy2
172.17.69.81,ylbdb01,基金-盘古TA系统ORACLE数据库应用&CMFYLB余利宝数据库&YLBPT余利宝压测数据库,基金-盘古TA数据库子系统&生产环境ORACLE数据库&生产环境ORACLE数据库,xieys&lidj,xieys&lixk&liup1
172.18.4.83,pubdb01,PDBINFO数据库&PDB_JY数据库&PDB_IDS数据库&PDB_WINDFILESYNC数据库&PDB_FINCHINA_BASE数据库&PDB_WINDDBSYNC数据库&PDB_FINCHINA_XINSIGHT数据库&PDB_UIMS数据库&PDB_JYDB_TICK数据库&PDB_TXV数据库&PDB_GOGAL数据库&PDB_CMFTR数据库&PDB_SCATTER数据库&PDB_HERMES数据库&PDB_OTCP数据库&PDB_PIM数据库&PDB_POSITION数据库&PDB_IC数据库&PDB_BCR数据库&PDB_MAA数据库&CMFPUB数据库&PDB_MIOESG数据库,生产环境ORACLE数据库&生产环境ORACLE数据库&生产环境ORACLE数据库&生产环境ORACLE数据库&生产环境ORACLE数据库&生产环境ORACLE数据库&生产环境ORACLE数据库&生产环境ORACLE数据库&生产环境ORACLE数据库&生产环境ORACLE数据库&生产环境ORACLE数据库&生产环境ORACLE数据库&生产环境ORACLE数据库&生产环境ORACLE数据库&生产环境ORACLE数据库&生产环境ORACLE数据库&生产环境ORACLE数据库&生产环境ORACLE数据库&生产环境ORACLE数据库&生产环境ORACLE数据库&生产环境ORACLE数据库&生产环境ORACLE数据库,liweijie,xieys&liup1
172.18.6.123,ecdb01,KM系统Oracle数据库应用&CMFOLTP数据库,基金-KM系统&生产环境ORACLE数据库,,xieys&liup1
172.18.6.133,tacrmdb01, 基金-TA资金清算系统数据库&ETFTA系统ORACLE数据库应用&基金-LOFTA系统ORACLE数据库应用&基金-呼叫中心数据库服务&TACRM数据库,基金-TA资金清算系统数据库&基金-ETFTA数据库子系统&基金-LOFTA数据库子系统&基金-呼叫中心数据库子系统&生产环境ORACLE数据库,xieys&lidj&xiaox&yangshuo,xieys&lixk&zhouyao&liup1&wuys&ling
172.18.6.183,dwdb01,数仓Oracle数据库应用-主库&CMFDW深圳灾备数据库,基金-营销数仓&生产环境ORACLE数据库,xieys,xieys&liup1
192.168.26.61,RetirementMF,基金-帆软报表,基金-帆软报表,xiaj&liming&xingxj,lijq&caiyg&liming&xingxj
172.19.4.101,ecweb-nginx-pre,cmfec-web-ecweb,基金-母公司电商,tanzj&xiegb&huyy&yanyn,wangy2&zhaolh
172.19.4.103,entweb-nginx-pre,cmfec-web-entweb,基金-母公司电商,tanzj&xiegb&huyy&yanyn,zhaolh
172.19.4.102,appweb-nginx-pre,cmfec-bff-appweb,基金-母公司电商,tanzj&xiegb&liyq&yanyn,zhaolh
172.19.4.100,commonweb-nginx-pre,cmfec-bff-commonweb,基金-母公司电商,tanzj&xiegb&yanyn,zhaolh
172.19.4.104,wxweb-nginx-pre,cmfec-bff-wxweb&cmfec-bff-wxweb,基金-母公司电商&基金-母公司电商,tanzj&xiegb&huyy&yanyn,zhaolh
192.168.6.124,cmfadmin-PC,BO客户端,基金-营销报表中心,lidz,ling
192.168.6.51,CMFTIANRUAN,财富-风险绩效管理web&财富-风险绩效管理Tinysoft&财富-风险绩效管理Tinysoft,财富-风控系统&财富-风控系统&财富-风控系统,zhangsk&yuanmg,wangy2
192.168.26.137,ITSM-WEB02,ITSM,IT服务管理系统（ITSM）,lijl2,lijl2
192.168.26.180,ITSM-Mysql01,ITSM,IT服务管理系统（ITSM）,lijl2,lijl2
192.168.26.136,ITSM-WEB01,ITSM,IT服务管理系统（ITSM）,lijl2,lijl2
192.168.26.181,ITSM-Mysql02,ITSM,IT服务管理系统（ITSM）,lijl2,lijl2
192.168.26.183,ITSM-Redis01,ITSM,IT服务管理系统（ITSM）,lijl2,lijl2
192.168.26.85,ITSM-RabbitMq,ITSM,IT服务管理系统（ITSM）,lijl2,lijl2
192.168.26.185,ITSM-Redis03,ITSM,IT服务管理系统（ITSM）,lijl2,lijl2
192.168.26.184,ITSM-Redis02,ITSM,IT服务管理系统（ITSM）,lijl2,lijl2
172.18.2.227,RB-GM-GGT01,基金-RPA,基金-RPA,lihy2&liuyi,caiyg&lihy2&liuyi
192.168.26.109,newstock-rpa02,基金-RPA,基金-RPA,lihy2&liuyi,caiyg&lihy2&liuyi
192.168.26.108,newstock-rpa01,基金-RPA,基金-RPA,lihy2&liuyi,caiyg&lihy2&liuyi
172.18.7.136,cmdb-dbauto,朱雀一体化运维,基金-朱雀一体化运维系统,wangy2,wangy2
172.18.0.193,打印机,内网机器客户端,基金-零钱通客户端接入子系统,lidj,lixk
172.18.0.76,打印机,内网机器客户端,基金-零钱通客户端接入子系统,lidj,lixk
172.18.0.75,打印机,内网机器客户端,基金-零钱通客户端接入子系统,lidj,lixk
192.168.2.16,影遁,影遁动态防御系统,影盾动态防御平台,yangyn&zhaolh,yangyn&zhaolh
192.168.2.15,影遁,影遁动态防御系统,影盾动态防御平台,yangyn&zhaolh,yangyn&zhaolh
192.168.2.13,CheckPoint防火墙,CheckPoint管理平台,CheckPoint管理平台,ling,ling
192.168.2.12,CheckPoint防火墙-192.168.2.12,CheckPoint管理平台,CheckPoint管理平台,ling,ling
192.168.2.11,CheckPoint防火墙-192.168.2.11,CheckPoint管理平台,CheckPoint管理平台,ling,ling
192.168.3.116,AVAYAAAC-192.168.3.116,AVAYACM01,IP电话系统,lixk,lixk
192.168.3.115,AVAYAAAC-192.168.3.115,AVAYACM01,IP电话系统,lixk,lixk
192.168.3.114,AVAYAAAC-192.168.3.114,AVAYACM01,IP电话系统,lixk,lixk
192.168.3.113,AVAYAAAC-192.168.3.113,AVAYACM01,IP电话系统,lixk,lixk
192.168.6.25,DD磁带外网-192.168.6.25,DD虚拟带库,TSM备份系统,denglm,denglm
192.168.6.100,F5-192.168.6.100,,,ling,ling
192.168.6.125,百旺物理机-192.168.6.125,百旺税控-基金,基金-百旺税控系统,linpc,linpc
192.168.22.6,F5 VS,,,kongwt&xud,kongwt&xiaox
192.168.22.16,影遁-192.168.22.16,影遁动态防御系统,影盾动态防御平台,yangyn&zhaolh,yangyn&zhaolh
192.168.22.15,影遁-192.168.22.15,影遁动态防御系统,影盾动态防御平台,yangyn&zhaolh,yangyn&zhaolh
192.168.22.5,影遁-192.168.22.5,影遁动态防御系统,影盾动态防御平台,yangyn&zhaolh,yangyn&zhaolh
192.168.22.151,F5-192.168.22.151,,,ling,ling
192.168.22.150,F5-192.168.22.150,,,ling,ling
192.168.22.164,F5 VS-192.168.22.164,,,xiegb,zhaolh
192.168.22.13,CheckPoint防火墙-192.168.22.13,CheckPoint管理平台,CheckPoint管理平台,ling,ling
192.168.22.12,CheckPoint防火墙-192.168.22.12,CheckPoint管理平台,CheckPoint管理平台,ling,ling
192.168.22.11,CheckPoint防火墙-192.168.22.11,CheckPoint管理平台,CheckPoint管理平台,ling,ling
172.18.0.51,CMFBP-172.18.0.51,基金-投研数仓,基金-投研数仓,liming&liugf,
172.18.7.83,VPLEX-VS6-83,存储系统,存储系统,caiyg,caiyg
172.18.7.81,VPLEX-VS6-81,存储系统,存储系统,caiyg,caiyg
172.18.3.3,内网OA防火墙管理台-172.18.3.3,CheckPoint管理平台,CheckPoint管理平台,ling,ling
172.18.5.191,模拟组合系统-172.18.5.191,模拟组合,基金-模拟组合系统,xiaj&yangyi,caiyg
172.18.7.135,ASP-Server,客服主动消息服务,基金-主动消息服务,xiaox&yangshuo,ling
192.168.26.102,KDS-GW,基金-xMessage短信服务平台,基金-xMessage短信发送,xiaox,ling
192.168.26.103,KDS-GW-nginx,基金-xMessage短信服务平台,基金-xMessage短信发送,xiaox,ling
172.18.7.125,Control-M05,基金-Control-M任务调度&基金-数据湖部署集群,基金-数据任务调度&基金-数据湖,liming&zhucj&liweijie&oujf,wangy2&zhucj&liweijie
172.18.7.122,Control-M02,基金-Control-M任务调度,基金-数据任务调度,liming&liweijie&oujf,zhucj&liweijie
172.18.7.123,Control-M03,基金-Control-M任务调度&基金-数据湖部署集群,基金-数据任务调度&基金-数据湖,liming&zhucj&liweijie&oujf,wangy2&zhucj&liweijie
172.18.7.121,Control-M01,基金-Control-M任务调度,基金-数据任务调度,liming&liweijie&oujf,zhucj&liweijie
172.18.7.124,Control-M04,基金-Control-M任务调度&基金-数据湖部署集群,基金-数据任务调度&基金-数据湖,liming&zhucj&liweijie&oujf,wangy2&zhucj&liweijie
172.18.7.126,Control-M-win,基金-Control-M任务调度,基金-数据任务调度,liming&liweijie&oujf,zhucj&liweijie
172.18.7.142,CMF-Position-kafka01,统一头寸-CMF.position,基金-统一头寸,xiah&kongwt&yangjie,wangy2
172.18.7.144,CMF-Position-kafka03,统一头寸-CMF.position,基金-统一头寸,xiah&kongwt&yangjie,wangy2
192.168.7.166,FAFundMonitor,FA精细化运作,基金-FA精细化运作管理系统,liuyu,xiah&wangy2&caiyg
172.18.7.143,CMF-Position-kafka02,统一头寸-CMF.position&基金-TA支付网关-中信银行,基金-统一头寸&基金-TA赢时胜支付网关平台,xiah&kongwt&yangjie,wangy2&zhouyao&wuys
192.168.26.86,ITSM-File,ITSM,IT服务管理系统（ITSM）,lijl2,lijl2
192.168.2.45,Fanruan-nginx,基金-帆软报表,基金-帆软报表,xiaj&liming&xingxj,lijq&caiyg&liming&xingxj
172.18.0.200,cmf-tsm7,TSM数据备份,TSM备份系统,denglm&guopk,denglm&guopk
192.168.31.120,AVAYA-CDRB,录音服务器AVAYAARS,IP电话系统,lixk,lixk
192.168.8.97,BankKF-RPA,基金-RPA,基金-RPA,lihy2&liuyi,caiyg&lihy2&liuyi
172.18.4.201,TA-server,主TA清算服务&TA统一门户&零钱通TAWEB页面应用&YLB TAWEB页面应用&零钱通TAWEB页面应用&WEB页面应用,基金-TA应用中间件子系统&基金-TA应用中间件子系统&基金-零钱通应用中间件子系统&基金-盘古TA应用中间件子系统&基金-零钱通应用中间件子系统&基金-TA周边组件子系统,lidj,lixk&ling
172.18.4.98,cmfmysql01,招金KM-Nginx服务,基金-移动OA,xud,wangy2
192.168.26.121,CMFETQSPRD01,终端防病毒,基金-终端防病毒系统,lijl2,lijl2
192.168.26.134,CMFEMTLPRD01,终端防病毒,基金-终端防病毒系统,lijl2,lijl2
172.18.7.128,Tianjian-RPA02,恒生天鉴-自动化(FA),基金-恒生天鉴,liujy3&dengjl,liujy3&dengjl
172.18.7.127,Tianjian-RPA01,恒生天鉴-自动化(FA),基金-恒生天鉴,liujy3&dengjl,liujy3&dengjl
172.18.7.129,Tianjian-RPA03,恒生天鉴-自动化(FA),基金-恒生天鉴,liujy3&dengjl,liujy3&dengjl
192.168.22.69,HealthMonitor02,朱雀一体化运维&easyops-all-collector-plugin,基金-朱雀一体化运维系统&基金-朱雀一体化运维系统,wangy2,wangy2
192.168.2.36,HealthMonitor01,朱雀一体化运维&easyops-all-collector-plugin,基金-朱雀一体化运维系统&基金-朱雀一体化运维系统,wangy2,wangy2
192.168.6.89,HealthMonitor03,朱雀一体化运维&easyops-all-collector-plugin,基金-朱雀一体化运维系统&基金-朱雀一体化运维系统,wangy2,wangy2
192.168.5.154,HealthMonitor06,朱雀一体化运维&easyops-all-collector-plugin,基金-朱雀一体化运维系统&基金-朱雀一体化运维系统,wangy2,wangy2
192.168.7.59,HealthMonitor04,朱雀一体化运维&easyops-all-collector-plugin,基金-朱雀一体化运维系统&基金-朱雀一体化运维系统,wangy2,wangy2
172.18.7.79,HealthMonitor07,朱雀一体化运维&easyops-all-collector-plugin,基金-朱雀一体化运维系统&基金-朱雀一体化运维系统,wangy2,wangy2
172.19.4.210,HealthMonitor09,朱雀一体化运维&easyops-all-collector-plugin,基金-朱雀一体化运维系统&基金-朱雀一体化运维系统,wangy2,wangy2
172.19.0.210,HealthMonitor08,朱雀一体化运维&easyops-all-collector-plugin,基金-朱雀一体化运维系统&基金-朱雀一体化运维系统,wangy2,wangy2
192.168.35.200,HealthMonitor10,朱雀一体化运维&easyops-all-collector-plugin,基金-朱雀一体化运维系统&基金-朱雀一体化运维系统,wangy2,wangy2
172.19.0.134,ec-redis-prod01,母公司电商公共服务消息组件redis,基金-母公司电商,xiegb,zhaolh
172.19.0.135,ec-redis-prod02,母公司电商公共服务消息组件redis,基金-母公司电商,xiegb,zhaolh
172.19.0.133,ec-kafka-prod03,母公司电商公共服务消息组件kafka,基金-母公司电商,xiegb,zhaolh
172.19.0.132,ec-kafka-prod02,母公司电商公共服务消息组件kafka,基金-母公司电商,xiegb,zhaolh
172.19.0.131,ec-kafka-prod01,母公司电商公共服务消息组件kafka,基金-母公司电商,xiegb,zhaolh
172.19.0.136,ec-redis-prod03,母公司电商公共服务消息组件redis,基金-母公司电商,xiegb,zhaolh
172.19.0.140,ec-xxljob-admin-prod02,母公司电商公共服务调度组件xxljob,基金-母公司电商,xiegb,zhaolh
172.19.0.139,ec-xxljob-admin-prod01,母公司电商公共服务调度组件xxljob,基金-母公司电商,xiegb,zhaolh
172.18.3.149,SQS-resin2,上清直连,场外交易-交易网关,huangchao,wangy2
172.19.0.138,ec-apollo-prod02,母公司电商公共服务消息组件apollo,基金-母公司电商,xiegb,zhaolh
172.19.0.137,ec-apollo-prod01,母公司电商公共服务消息组件apollo,基金-母公司电商,xiegb,zhaolh
192.168.7.85,fintech-common,财富-金融科技公共服务应用,财富-公共服务平台&财富-金融科技公共服务系统,licc,yangyn&wangy2
192.168.7.97,fintech-proxy,财富-金融科技公共服务前置应用,财富-金融科技公共服务系统,licc,wangy2
172.19.6.61,ecdb01,基金-直销柜台ORACLE数据库应用&母公司电商ORACLE数据库&CMFEC新电商数据库,基金-直销柜台数据库子系统&基金-母公司电商&生产环境ORACLE数据库,tanzj&xieys&lidj&liugr&xiegb&huyy&yanyn&lvzl&liuhl,xieys&liup1&ling
172.19.6.63,ecdb02,基金-直销柜台ORACLE数据库应用&母公司电商ORACLE数据库&CMFEC新电商数据库,基金-直销柜台数据库子系统&基金-母公司电商&生产环境ORACLE数据库,tanzj&xieys&lidj&liugr&xiegb&huyy&yanyn&lvzl&liuhl,xieys&liup1&ling
172.19.6.65,ecdb03,基金-直销柜台ORACLE数据库应用&母公司电商ORACLE数据库&CMFEC新电商数据库,基金-直销柜台数据库子系统&基金-母公司电商&生产环境ORACLE数据库,tanzj&xieys&lidj&liugr&xiegb&huyy&yanyn&lvzl&liuhl,xieys&liup1&ling
172.18.7.241,cmftradb01,恒生O32主用RAC&CMFTR投资交易数据库,恒生O32数据库&生产环境ORACLE数据库,xieys&xukw,xieys&xukw&liup1
172.18.7.243,cmftradb02,恒生O32主用RAC&CMFTR投资交易数据库,恒生O32数据库&生产环境ORACLE数据库,xieys&xukw,xieys&xukw&liup1
172.18.7.245,cmftradb03,恒生O32主用RAC&CMFTR投资交易数据库,恒生O32数据库&生产环境ORACLE数据库,xieys&xukw,xieys&xukw&liup1
192.168.8.20,外网文件服务器,文件服务器,基金-文件共享系统,lijl2,lijl2
192.168.7.167,WebFundMonitor0,基金-RPA,基金-RPA,lihy2&liuyi,caiyg&lihy2&liuyi
192.168.7.34,CMWA-Directcounter02,财富-销售清算平台服务&财富-电商运营服务,财富-财富销售清算系统&财富-电子商务,ex-chenbq&wangjf&zuotc,wangy2
192.168.7.33,CMWA-Directcounter01,财富-财富销售柜台服务&财富-销售资金平台服务,财富-财富销售柜台系统&财富-财富销售资金系统,ex-chenbq&wangjf&zuotc,wangy2
192.168.34.23,dmp-04,DaoCloud容器平台,DaoCloud容器平台,caiyg,caiyg&guopk
192.168.34.22,dmp-03,DaoCloud容器平台,DaoCloud容器平台,caiyg,caiyg&guopk
192.168.34.21,dmp-02,DaoCloud容器平台,DaoCloud容器平台,caiyg,caiyg&guopk
192.168.34.24,dmp-05,DaoCloud容器平台,DaoCloud容器平台,caiyg,caiyg&guopk
192.168.34.20,dmp-01,DaoCloud容器平台,DaoCloud容器平台,caiyg,caiyg&guopk
192.168.34.25,dmp-06,DaoCloud容器平台,DaoCloud容器平台,caiyg,caiyg&guopk
192.168.5.212,IPS-Managemnet,启明星辰IPS管理台,基金-启明星辰IPS管理台,ling,ling
192.168.5.73,sdata-server,统一监控平台,统一监控平台,caiyg,caiyg
192.168.5.76,sdata-db-master,统一监控平台,统一监控平台,caiyg,caiyg
192.168.5.77,sdata-db-salve,统一监控平台,统一监控平台,caiyg,caiyg
192.168.5.101,sdata-show,统一监控平台,统一监控平台,caiyg,caiyg
192.168.124.188,代码卫士,代码扫描,代码安全扫描系统,wangy2,wangy2
172.19.0.180,Kafka-Management,朱雀一体化运维,基金-朱雀一体化运维系统,wangy2,wangy2
172.18.7.112,SZT-TCP-Proxy02,财富深证通MR&深证通-TCP代理,财富-深证通FDEP消息系统&基金-深证通平台,linpc,linpc
172.18.7.111,SZT-TCP-Proxy01,财富深证通MR&深证通-TCP代理,财富-深证通FDEP消息系统&基金-深证通平台,linpc,linpc
192.168.231.1,招商财富深信服AC,上网行为管理,基金-上网行为管理系统,lijl2,lijl2
172.18.7.137,TA-Parameter,基金-TA统一参数平台,基金-TA统一参数平台,lidj,lixk
192.168.6.105,CMFEEXHIIS01,exchange邮件,基金-邮件系统,lijl2,lijl2
192.168.6.106,CMFEEXCIIS02,exchange邮件,基金-邮件系统,lijl2,lijl2
172.18.7.131,hs-asar04,恒生O32应用中间件,恒生O32应用中间件,liujy3&xukw&dengjl,liujy3&xukw&ex-qianzj&dengjl
192.168.6.42,cmwa-zz-rpa,基金-RPA,基金-RPA,lihy2&liuyi,caiyg&lihy2&liuyi
172.18.7.24,cmf-sqs-rpa,基金-RPA,基金-RPA,lihy2&liuyi,caiyg&lihy2&liuyi
172.18.7.28,cmwa-sqs-rpa,基金-RPA,基金-RPA,lihy2&liuyi,caiyg&lihy2&liuyi
192.168.6.154,cmfma03,预算管理-budgetManagement&管理会计服务,基金-财务管理系统&基金-管理会计系统,kongwt&huxm&ganq,wangy2
192.168.6.155,cmfma04,预算管理-budgetManagement&管理会计服务,基金-财务管理系统&基金-管理会计系统,kongwt&huxm&ganq,wangy2
192.168.6.151,cmfma01,预算管理-budgetManagement&管理会计服务,基金-财务管理系统&基金-管理会计系统,kongwt&huxm&ganq,wangy2
192.168.6.153,cmfma02,预算管理-budgetManagement&管理会计服务,基金-财务管理系统&基金-管理会计系统,kongwt&huxm&ganq,wangy2
172.18.7.31,kingdee-server,金蝶财务系统,基金-金蝶财务系统,zhouyao,denglm
172.18.7.32,kingdee-Managem,金蝶财务系统&基金-TA赢时胜支付网关,基金-金蝶财务系统&基金-TA赢时胜支付网关平台,zhouyao&wuys,denglm&zhouyao&wuys
192.168.22.78,Beidou-app-Nginx,基金-北斗经营分析,基金-北斗经营分析系统,zhuyy,zhuyy
172.18.7.35,Sdata-proxy-int,统一监控平台,统一监控平台,caiyg,caiyg
172.19.0.141,cmfec-ecweb01,cmfec-web-ecweb,基金-母公司电商,tanzj&xiegb&huyy&yanyn,wangy2&zhaolh
172.19.0.142,cmfec-ecweb02,cmfec-web-ecweb,基金-母公司电商,tanzj&xiegb&huyy&yanyn,wangy2&zhaolh
172.19.0.143,cmfec-wxweb01,cmfec-bff-wxweb,基金-母公司电商,tanzj&xiegb&huyy&yanyn,zhaolh
172.19.0.145,cmfec-entweb01,cmfec-web-entweb,基金-母公司电商,tanzj&xiegb&huyy&yanyn,zhaolh
172.19.0.146,cmfec-entweb02,cmfec-web-entweb,基金-母公司电商,tanzj&xiegb&huyy&yanyn,zhaolh
172.19.0.144,cmfec-wxweb02,cmfec-bff-wxweb,基金-母公司电商,tanzj&xiegb&huyy&yanyn,zhaolh
172.19.0.149,cmfec-commonweb01,cmfec-bff-commonweb,基金-母公司电商,tanzj&xiegb&yanyn,zhaolh
172.19.0.148,cmfec-appweb02,cmfec-bff-appweb,基金-母公司电商,tanzj&xiegb&liyq&yanyn,zhaolh
172.19.0.150,cmfec-commonweb02,cmfec-bff-commonweb,基金-母公司电商,tanzj&xiegb&yanyn,zhaolh
172.19.0.147,cmfec-appweb01,cmfec-bff-appweb,基金-母公司电商,tanzj&xiegb&liyq&yanyn,zhaolh
172.19.0.154,cmfec-tpweb04,cmfec-bff-tpweb,电商三方接入系统,tanzj&liugr&xiegb&yanyn,wangy2&zhaolh
172.19.0.153,cmfec-tpweb03,cmfec-bff-tpweb,电商三方接入系统,tanzj&liugr&xiegb&yanyn,wangy2&zhaolh
172.19.0.155,cmfec-shorturl01,cmfec-web-shorturl,基金-母公司电商,tanzj&xiegb&yanyn,zhaolh
172.19.0.152,cmfec-tpweb02,cmfec-bff-tpweb,电商三方接入系统,tanzj&liugr&xiegb&yanyn,wangy2&zhaolh
172.19.0.151,cmfec-tpweb01,cmfec-bff-tpweb,电商三方接入系统,tanzj&liugr&xiegb&yanyn,wangy2&zhaolh
172.19.0.158,cmfec-fispweb02,cmfec-web-fispweb,基金-母公司电商,tanzj&liugr&xiegb&yanyn,zhaolh
172.19.0.157,cmfec-fispweb01,cmfec-web-fispweb,基金-母公司电商,tanzj&liugr&xiegb&yanyn,zhaolh
172.19.0.156,cmfec-shorturl02,cmfec-web-shorturl,基金-母公司电商,tanzj&xiegb&yanyn,zhaolh
172.19.0.163,cmfecquery01,cmfec-core-query,基金-母公司电商,tanzj&xiegb&yanyn,zhaolh
172.19.0.159,cmfecorder01,cmfec-core-order,基金-母公司电商,tanzj&xiegb&yanyn,wangy2&zhaolh
172.19.0.160,cmfecorder02,cmfec-core-order,基金-母公司电商,tanzj&xiegb&yanyn,wangy2&zhaolh
172.19.0.161,cmfecorder03,cmfec-core-order,基金-母公司电商,tanzj&xiegb&yanyn,wangy2&zhaolh
172.19.0.162,cmfecorder04,cmfec-core-order,基金-母公司电商,tanzj&xiegb&yanyn,wangy2&zhaolh
172.19.0.166,cmfecquery04,cmfec-core-query,基金-母公司电商,tanzj&xiegb&yanyn,zhaolh
172.19.0.164,cmfecquery02,cmfec-core-query,基金-母公司电商,tanzj&xiegb&yanyn,zhaolh
172.19.0.165,cmfecquery03,cmfec-core-query,基金-母公司电商,tanzj&xiegb&yanyn,zhaolh
172.19.0.172,cmfecasyn02,cmfec-core-asyn,基金-母公司电商,tanzj&xiegb&yanyn,zhaolh
172.19.0.171,cmfecasyn01,cmfec-core-asyn,基金-母公司电商,tanzj&xiegb&yanyn,zhaolh
172.19.0.173,cmfecasyn03,cmfec-core-asyn,基金-母公司电商,tanzj&xiegb&yanyn,zhaolh
172.19.0.174,cmfecasyn04,cmfec-core-asyn,基金-母公司电商,tanzj&xiegb&yanyn,zhaolh
172.19.0.204,cmfecmarket04,cmfec-core-market,基金-母公司电商,tanzj&xiegb&huyy&yanyn,zhaolh
172.19.0.202,cmfecmarket02,cmfec-core-market,基金-母公司电商,tanzj&xiegb&huyy&yanyn,zhaolh
172.19.0.201,cmfecmarket01,cmfec-core-market,基金-母公司电商,tanzj&xiegb&huyy&yanyn,zhaolh
172.19.0.203,cmfecmarket03,cmfec-core-market,基金-母公司电商,tanzj&xiegb&huyy&yanyn,zhaolh
172.19.0.185,cmfecproduct01,cmfec-core-product,基金-母公司电商,tanzj&xiegb&yanyn,zhaolh
172.19.0.184,cmfecasset02,cmfec-core-asset,基金-母公司电商,tanzj&xiegb&yanyn,zhaolh
172.19.0.186,cmfecproduct02,cmfec-core-product,基金-母公司电商,tanzj&xiegb&yanyn,zhaolh
172.19.0.183,cmfecasset01,cmfec-core-asset,基金-母公司电商,tanzj&xiegb&yanyn,zhaolh
172.19.0.191,cmfeccredit01,cmfec-core-credit,基金-母公司电商,tanzj&xiegb&yanyn,zhaolh
172.19.0.187,cmfecsecurity01,cmfec-core-security,基金-母公司电商,tanzj&xiegb&yanyn,wangy2&zhaolh
172.19.0.193,cmfecsearchcenter01,cmfec-core-search,基金-母公司电商,tanzj&xiegb&yanyn,zhaolh
172.19.0.196,cmfecclear02,cmfec-core-clear,基金-母公司电商,tanzj&liugr&xiegb&yanyn,zhaolh
172.19.0.194,cmfecsearchcenter02,cmfec-core-search,基金-母公司电商,tanzj&xiegb&yanyn,zhaolh
172.19.0.192,cmfeccredit02,cmfec-core-credit,基金-母公司电商,tanzj&xiegb&yanyn,zhaolh
172.19.0.189,cmfecfundtrade01,cmfec-core-fundtrade,基金-母公司电商,tanzj&xiegb&yanyn,zhaolh
172.19.0.195,cmfecclear01,cmfec-core-clear,基金-母公司电商,tanzj&liugr&xiegb&yanyn,zhaolh
172.19.0.190,cmfecfundtrade02,cmfec-core-fundtrade,基金-母公司电商,tanzj&xiegb&yanyn,zhaolh
172.19.0.205,cmfeccrmgw01,cmfec-gw-crmgw,基金-母公司电商,tanzj&xiegb&yanyn,zhaolh
