ip,hostname,app,businesses,dev,own
192.168.2.62,Fxq-Nginx,反洗钱监控系统Web,基金-反洗钱监控系统,huangjq,ling
192.168.22.71,cmfweixin-pre-nginx,cmfecweixin-server-pre&cmfecweixin-nginx-pre,基金-母公司电商&基金-母公司电商,huyy,zhaolh
192.168.22.46,cmfweixin-prod-nginx02,cmfecweixin-server-prod,基金-母公司电商,huyy,zhaolh
192.168.22.45,cmfweixin-prod-nginx01,cmfecweixin-server-prod,基金-母公司电商,huyy,zhaolh
172.18.4.87,pubdb03,PDBINFO数据库&PDB_JY数据库&PDB_IDS数据库&PDB_WINDFILESYNC数据库&PDB_FINCHINA_BASE数据库&PDB_WINDDBSYNC数据库&PDB_FINCHINA_XINSIGHT数据库&PDB_UIMS数据库&PDB_JYDB_TICK数据库&PDB_TXV数据库&PDB_GOGAL数据库&PDB_CMFTR数据库&PDB_SCATTER数据库&PDB_HERMES数据库&PDB_OTCP数据库&PDB_PIM数据库&PDB_POSITION数据库&PDB_IC数据库&PDB_BCR数据库&PDB_MAA数据库&CMFPUB数据库&PDB_MIOESG数据库,生产环境ORACLE数据库&生产环境ORACLE数据库&生产环境ORACLE数据库&生产环境ORACLE数据库&生产环境ORACLE数据库&生产环境ORACLE数据库&生产环境ORACLE数据库&生产环境ORACLE数据库&生产环境ORACLE数据库&生产环境ORACLE数据库&生产环境ORACLE数据库&生产环境ORACLE数据库&生产环境ORACLE数据库&生产环境ORACLE数据库&生产环境ORACLE数据库&生产环境ORACLE数据库&生产环境ORACLE数据库&生产环境ORACLE数据库&生产环境ORACLE数据库&生产环境ORACLE数据库&生产环境ORACLE数据库&生产环境ORACLE数据库,liweijie,xieys&liup1
172.17.69.85,ylbdb03,基金-盘古TA系统ORACLE数据库应用&CMFYLB余利宝数据库&YLBPT余利宝压测数据库,基金-盘古TA数据库子系统&生产环境ORACLE数据库&生产环境ORACLE数据库,xieys&lidj,xieys&lixk&liup1
172.18.6.127,ecdb03,KM系统Oracle数据库应用&CMFOLTP数据库,基金-KM系统&生产环境ORACLE数据库,,xieys&liup1
172.18.6.137,tacrmdb03, 基金-TA资金清算系统数据库&ETFTA系统ORACLE数据库应用&基金-LOFTA系统ORACLE数据库应用&基金-呼叫中心数据库服务&TACRM数据库,基金-TA资金清算系统数据库&基金-ETFTA数据库子系统&基金-LOFTA数据库子系统&基金-呼叫中心数据库子系统&生产环境ORACLE数据库,xieys&lidj&xiaox&yangshuo,xieys&lixk&zhouyao&liup1&wuys&ling
192.168.5.140,easyops-ls-01,easyops_plat&朱雀一体化运维,基金-朱雀一体化运维系统&基金-朱雀一体化运维系统,wangy2,wangy2
192.168.5.142,easyops-db-01,easyops_plat&朱雀一体化运维,基金-朱雀一体化运维系统&基金-朱雀一体化运维系统,wangy2,wangy2
192.168.5.144,easyops-db-03,easyops_plat&朱雀一体化运维,基金-朱雀一体化运维系统&基金-朱雀一体化运维系统,wangy2,wangy2
192.168.5.141,easyops-ls-02,easyops_plat&朱雀一体化运维,基金-朱雀一体化运维系统&基金-朱雀一体化运维系统,wangy2,wangy2
192.168.5.143,easyops-db-02,easyops_plat&朱雀一体化运维,基金-朱雀一体化运维系统&基金-朱雀一体化运维系统,wangy2,wangy2
192.168.22.131,cmwafof-apache1,财富-招行私行MWS组合分析&财富-MOM分析,财富-SOLUTION-风险绩效&财富-SOLUTION-风险绩效,zhangsk&yuanmg,wangy2
192.168.6.31,CMWA-CBPResin,财富-综合业务平台-后台,财富-综合业务系统,wangzy&wangjf,wangy2
192.168.2.58,KM2-Apache1,KM2 APACHE,基金-KM系统,kongwt&xud,wangy2
192.168.125.154,WIN-KQ5D1HDEP5G,基金-自动化运维,基金-自动化运维系统,caiyg&lihy2,caiyg
192.168.125.153,WIN-KQ5D1HDEP5G,基金-自动化运维,基金-自动化运维系统,caiyg&lihy2,caiyg
192.168.6.24,cmwacounter-24,财富-销售清算平台服务&财富-电商运营服务,财富-财富销售清算系统&财富-电子商务,ex-chenbq&wangjf&zuotc,wangy2
192.168.22.91,cmwazct-apache1,财富-招财+信息系统接入服务,财富-招财+信息系统,zhangsk,wangy2
192.168.22.92,cmwazct-apache2,财富-招财+信息系统接入服务,财富-招财+信息系统,zhangsk,wangy2
192.168.6.96,cmwafof-resin-96,财富-招行私行MWS组合分析&财富-MOM分析,财富-SOLUTION-风险绩效&财富-SOLUTION-风险绩效,zhangsk&yuanmg,wangy2
192.168.6.39,CMWAEC--39,财富-电商官网&财富-电商api&财富-电商前置机,财富-电子商务&财富-电子商务&财富-电子商务,ex-chenbq&wangjf&zuotc,wangy2
192.168.6.48,cmwazct-resin02-48,财富-公共-短信服务&财富-招财+信息系统应用服务&财富-公共-DTP系统服务,财富-公共系统&财富-招财+信息系统&财富-公共-DTP系统,ex-chenbq&wangjf&zhangsk&zuotc,wangy2
192.168.6.45,cmwa-resin-45,财富-招财+信息系统应用服务,财富-招财+信息系统,zhangsk,wangy2
192.168.6.41,CMWAEC--41,财富-电商用户服务&财富-电商邮件服务&财富-电商查询服务&财富-电商交易服务,财富-电子商务&财富-电子商务&财富-电子商务&财富-电子商务,ex-chenbq&wangjf&zuotc,wangy2
192.168.6.40,CMWAEC--40,财富-电商用户服务&财富-电商邮件服务&财富-电商查询服务&财富-电商交易服务,财富-电子商务&财富-电子商务&财富-电子商务&财富-电子商务,ex-chenbq&wangjf&zuotc,wangy2
192.168.6.200,cmwa-adp,财富-分析数据服务,财富-分析数据管理系统,yangx1&wangjf&zhongjc,wangy2
192.168.6.38,CMWAEC--38,财富-电商官网&财富-电商api&财富-电商前置机,财富-电子商务&财富-电子商务&财富-电子商务,ex-chenbq&wangjf&zuotc,wangy2
192.168.26.69,Caihui-HY,财富-慧眼应用,财富-慧眼系统,licc,wangy2&licc
192.168.3.8,fax-svr,wavefax,基金-电子传真系统,zhouyao,zhouyao
192.168.22.72,ABS-Nginx,财富-ABS文件底稿系统,财富-风控系统,wangzy,wangy2
172.18.7.67,QH-rpa,基金-RPA,基金-RPA,lihy2&liuyi,caiyg&lihy2&liuyi
192.168.6.86,km-obp01,营销物料系统,基金-营销物料系统,xiaox,ling
192.168.26.16,wamap-springboot04,财富-多元投资平台门户web,财富-多元投资平台门户,qiucw&yuanmg,yangyn&wangy2
192.168.26.14,wamap-ias2,财富-投资辅助web,财富-投研系统,zhangsk&yuanmg,wangy2
192.168.7.205,wamap-springboot01,财富-BASIC基础服务server&财富-BASIC基础服务web,财富-公共系统&财富-公共系统,wangjf&zhangsk&zuotc&yuanmg,yangyn&wangy2
192.168.22.186,wamap-nginx02,财富-标的管理nginx&财富-BASIC基础服务nginx&财富-综合业务平台-费用管理web&财富-新股申购管理nginx&财富-多元投资平台-交易管理nginx& 财富-舆情系统nginx&财富-投资交易管理nginx& 财富-信用风险管理前端应用&财富-多元投资平台门户V2-nginx&财富-多元投资平台门户nginx&财富-风险绩效管理nginx&财富-主体全视图前端应用&财富-投资辅助nginx&财富-综合业务平台-产品服务nginx&财富-衍生品询价管理nginx&财富-私募FOF组合管理系统nginx,财富-综合业务系统&财富-公共系统&财富-综合业务系统&财富-新股申购管理系统&财富-综合业务系统&财富-投研系统&财富-投资交易管理系统&财富-信用风险管理系统&财富-多元投资平台门户&财富-多元投资平台门户&财富-风控系统&财富-主体全视图&财富-投研系统&财富-综合业务系统&财富-投资交易管理系统&财富-私募FOF组合管理系统,wangzy&wangjf&zhangsk&licc&zuotc&qiucw&linbh&yuanmg,yangyn&wangy2
192.168.7.28,cmwa-zyt-resin2,财富-招赢通,财富-招赢通业务,ex-chenbq&wangjf&zuotc,wangy2
192.168.7.27,CMWA-zyt-resin1,财富-招赢通,财富-招赢通业务,ex-chenbq&wangjf&zuotc,wangy2
192.168.6.9,km-jboss,旧版KM,基金-KM系统,liujie&xud,wangy2
192.168.6.80,EC-zookeeper80,母公司电商公共服务消息组件zookeeper,基金-母公司电商,xiegb,wangy2&zhaolh
192.168.6.15,oa-resin1,KM工作流引擎&招金微办公,基金-KM系统&基金-移动OA,liujie&xud,wangy2
192.168.6.69,iGuard-Pub,cmfecweixin-nginx-pre&财富-电商App&财富-企业微信应用&财富-cms&防篡改&财富-招财+信息系统接入服务&cmfeczqbh5-ng-prod&cmfec-bff-activity&cmfec-web-ecweb&cmfec-bff-wxweb&cmfec-static-zqbh5&cmfec-static-cmfh5&cmfececent-apache-prod&cmfecweixin-nginx-prod&财富-电商官网-apache&财富-电商微信公众号-apache&财富-电商运营服务-apache&cmfecweb-apache-pre&cmfecweb-apache-prod&财富-电商微信公众号-vue&cmfwww-datatimer&cmfwww-cmfcms,基金-母公司电商&财富-电子商务&财富-企业微信系统&财富-电子商务&防篡改&财富-招财+信息系统&基金-母公司电商&基金-母公司电商&基金-母公司电商&基金-母公司电商&基金-母公司电商&基金-母公司电商&基金-母公司电商&基金-母公司电商&财富-电子商务&财富-电子商务&财富-电子商务&基金-母公司电商&基金-母公司电商&财富-电子商务&基金-主站&基金-主站,tanzj&ex-chenbq&yangyn&lijl2&xiegb&wangjf&zhangsk&huyy&yanyn&hanlh&zuotc,yangyn&lijl2&wangy2&zhaolh
192.168.6.13,km-front-13,汇博研报前置机&招金微办公前置机&携程前置,基金-聚升投研平台&基金-移动OA&基金-KM系统,kongwt&xud&ganq,wangy2&caiyg
192.168.6.16,oa-resin2,财富-企业微信应用&招金微办公,财富-企业微信系统&基金-移动OA,lijl2&liujie&wangjf&xud,lijl2&wangy2
192.168.6.182,JobPlat-resin01,cmf-xxl-job-executor&cmf-xxl-job-admin,XXL-Job&XXL-Job,xingxj&huangy1,lijl2&wangy2
192.168.6.185,JobPlat-resin02,cmf-xxl-job-executor&cmf-xxl-job-admin,XXL-Job&XXL-Job,xingxj&huangy1,lijl2&wangy2
172.18.3.73,Exce-resin01,cmf-xxl-job-executor,XXL-Job,xingxj,wangy2
172.18.3.74,Exce-resin02,cmf-xxl-job-executor,XXL-Job,xingxj,wangy2
192.168.6.187,Payment-GW,银企直联网关&基金-TA赢时胜支付网关&基金-TA资金清算支付网关,基金-授信与垫资系统&基金-TA赢时胜支付网关平台&基金-TA资金清算系统应用服务器,wuys,zhouyao&wuys&ling
172.18.3.88,OTCP-resin01,场外交易系统主应用-CMF.OTCP.MAIN,场外交易-交割服务,huangchao&guocw,wangy2
172.18.3.90,SQS-resin,上清直连&数据同步转换服务-CMF.OTCP.DATASYNC&文件监听服务-CMF.OTCP.FILEMONITOR,场外交易-交易网关&场外交易-数据网关&场外交易-数据网关,huangchao&tuyun&luoh&dengdr&liaoqw,wangy2
192.168.6.97,BudgetMgnt01,管理会计服务&预算管理-budgetManagement,基金-管理会计系统&基金-财务管理系统,kongwt&huxm&ganq,wangy2
192.168.6.133,FOMS-IIS01,场外前端dotnet服务端,场外交易-前端应用,huangchao,wangy2
192.168.6.82,cmf-credit01,授信垫资服务,基金-授信与垫资系统,liwl,ling
172.18.0.71,CMF-Clrrpt,TA清算报表,基金-清算报表系统,lidj,lixk
192.168.2.67,CMF-BBS-Apache,营销物料系统,基金-营销物料系统,xiaox,ling
192.168.2.59,cas,cas认证服务.前端&KM2 APACHE,基金-公共认证服务&基金-KM系统,kongwt&xud,wangy2&caiyg
192.168.6.245,km-obp02,新版KM,基金-KM系统,liujie&xud,wangy2
192.168.26.36,CBP-workflow,财富-综合业务平台-公共workflow,财富-综合业务系统,wangjf,wangy2
192.168.2.38,FAM-Nginx01,FA精细化运作&FA运营管控执行服务,基金-FA精细化运作管理系统&基金-FA精细化运作管理系统,xiah&liuyu&kongwt,xiah&wangy2&caiyg
192.168.2.39,FAM-Nginx02,FA精细化运作&FA运营管控执行服务,基金-FA精细化运作管理系统&基金-FA精细化运作管理系统,xiah&liuyu&kongwt,xiah&wangy2&caiyg
192.168.26.81,FAM-exector02,FA精细化运作&FA运营管控执行服务,基金-FA精细化运作管理系统&基金-FA精细化运作管理系统,xiah&liuyu&kongwt,xiah&wangy2&caiyg
192.168.26.80,FAM-exector01,FA精细化运作&FA运营管控执行服务,基金-FA精细化运作管理系统&基金-FA精细化运作管理系统,xiah&liuyu&kongwt,xiah&wangy2&caiyg
192.168.6.223,HK-resin-223,招商香港CRMWeb,招商香港-CRM系统,xiaox,zhaolh
192.168.22.85,oa-apache1,招金微办公Apache,基金-移动OA,xud,wangy2
192.168.6.55,EC-resin-55,机构查询服务门户Web&cmfwww-bus&cmfwww-web,基金-机构查询服务门户&基金-主站&基金-主站,wugf1&lidj&xiaox&huyy,zhaolh&ling
192.168.6.54,EC-resin-54,机构查询服务门户Web&cmfwww-bus&cmfwww-web,基金-机构查询服务门户&基金-主站&基金-主站,wugf1&lidj&xiaox&huyy,zhaolh&ling
172.18.0.42,CMF-CTI02,呼叫中心监控大屏,基金-呼叫中心管理子系统,yangshuo,ling
172.18.0.177,CMWA-CTI01,财富-呼叫中心-ETL&财富-呼叫中心-IVR,财富-呼叫中心&财富-呼叫中心,ex-chenbq&wangjf&zuotc,wangy2
172.18.0.40,CMF-CTI01,呼叫中心监控大屏&电话CTI服务&电话IVR服务,基金-呼叫中心管理子系统&基金-呼叫中心管理子系统&基金-呼叫中心管理子系统,yangshuo,ling
172.18.0.180,CMWA-CALLCENTER,财富-呼叫中心-客服应用,财富-呼叫中心,ex-chenbq&wangjf&zuotc,wangy2
172.18.0.168,CallCenter-168,呼叫中心web应用,基金-呼叫中心管理子系统,xiaox&yangshuo&huangjq,ling
192.168.6.143,CRM-143,CRM,基金-CRM系统,xiaox&yangshuo,ling
192.168.2.40,apache2-www,智能在线客服机器人,基金-智能机器人在线客服系统,yangshuo,ling
192.168.6.65,AR-RC,恒生O32宽途AR&恒生O32远程AR应用&恒生O32宽途行情（外部投顾）,恒生O32宽途客户端系统&恒生O32远程客户端相关系统&恒生O32宽途客户端系统,liujy3&xukw,liujy3&xukw
192.168.6.81,BaiWangsk-CMWA,百旺税控-财富,财富-百旺税控,linpc,linpc
192.168.6.198,DataSvc01,TA运营精细化文件服务,基金-TA运营精细化业务系统,liwl,ling
192.168.6.94,cmwaBankFront,财富-电商官网,财富-电子商务,ex-chenbq&wangjf&zuotc,wangy2
192.168.6.232,km-cas01,cas认证服务.后端,基金-公共认证服务,kongwt&gongyl1,wangy2&caiyg
